Line,Shot,Time,Min feather,Max feather,Avg feather
3291,4617,1251425467,-0.01,0.07,0.04
3291,4615,1251425478,-0.02,0.07,0.03
3291,4614,1251425484,-0.02,0.07,0.03
3291,4613,1251425489,-0.02,0.07,0.03
3291,4612,1251425495,-0.02,0.06,0.03
3291,4611,1251425500,-0.02,0.06,0.03
3291,4610,1251425506,-0.02,0.06,0.02
3291,4609,1251425511,-0.02,0.06,0.02
3291,4608,1251425517,-0.02,0.06,0.02
3291,4607,1251425522,-0.02,0.06,0.02
3291,4606,1251425528,-0.03,0.06,0.01
3291,4605,1251425533,-0.03,0.05,0.01
3291,4604,1251425539,-0.03,0.05,0.01
3291,4603,1251425544,-0.03,0.05,0.01
3291,4602,1251425550,-0.03,0.05,0.01
3291,4601,1251425555,-0.03,0.05,0.00
3291,4600,1251425561,-0.04,0.05,0.00
3291,4599,1251425566,-0.04,0.05,-0.00
3291,4598,1251425572,-0.04,0.05,-0.00
3291,4597,1251425577,-0.04,0.05,-0.00
3291,4596,1251425583,-0.04,0.05,-0.01
3291,4595,1251425588,-0.04,0.05,-0.01
3291,4594,1251425594,-0.04,0.05,-0.01
3291,4593,1251425599,-0.04,0.04,-0.01
3291,4592,1251425605,-0.05,0.04,-0.01
3291,4591,1251425610,-0.05,0.04,-0.01
3291,4590,1251425616,-0.05,0.04,-0.01
3291,4589,1251425621,-0.05,0.04,-0.01
3291,4588,1251425627,-0.05,0.04,-0.01
3291,4587,1251425633,-0.05,0.04,-0.02
3291,4586,1251425638,-0.05,0.04,-0.02
3291,4585,1251425644,-0.05,0.04,-0.02
3291,4584,1251425649,-0.05,0.03,-0.02
3291,4583,1251425655,-0.05,0.03,-0.02
3291,4582,1251425660,-0.05,0.03,-0.02
3291,4581,1251425666,-0.05,0.03,-0.02
3291,4580,1251425671,-0.05,0.03,-0.02
3291,4579,1251425677,-0.05,0.03,-0.02
3291,4578,1251425682,-0.05,0.03,-0.02
3291,4577,1251425688,-0.06,0.03,-0.02
3291,4576,1251425693,-0.06,0.02,-0.02
3291,4575,1251425699,-0.06,0.02,-0.03
3291,4574,1251425704,-0.06,0.02,-0.03
3291,4573,1251425710,-0.06,0.02,-0.03
3291,4572,1251425715,-0.06,0.02,-0.03
3291,4571,1251425721,-0.06,0.02,-0.03
3291,4570,1251425726,-0.06,0.02,-0.03
3291,4569,1251425732,-0.06,0.02,-0.03
3291,4568,1251425737,-0.07,0.02,-0.03
3291,4567,1251425743,-0.07,0.02,-0.03
3291,4566,1251425748,-0.07,0.02,-0.03
3291,4565,1251425754,-0.07,0.02,-0.03
3291,4564,1251425760,-0.07,0.02,-0.03
3291,4563,1251425765,-0.07,0.01,-0.04
3291,4562,1251425771,-0.07,0.01,-0.04
3291,4561,1251425776,-0.07,0.01,-0.04
3291,4560,1251425782,-0.07,0.01,-0.04
3291,4559,1251425787,-0.07,0.01,-0.04
3291,4558,1251425793,-0.07,0.01,-0.04
3291,4557,1251425798,-0.07,0.01,-0.04
3291,4556,1251425804,-0.08,0.01,-0.04
3291,4555,1251425809,-0.08,0.01,-0.04
3291,4554,1251425815,-0.08,0.01,-0.04
3291,4553,1251425820,-0.08,0.01,-0.04
3291,4552,1251425826,-0.08,0.01,-0.04
3291,4551,1251425831,-0.08,0.01,-0.04
3291,4550,1251425837,-0.08,0.01,-0.04
3291,4549,1251425842,-0.08,0.01,-0.04
3291,4548,1251425848,-0.08,0.01,-0.04
3291,4547,1251425853,-0.08,0.01,-0.04
3291,4546,1251425859,-0.08,0.01,-0.04
3291,4545,1251425864,-0.08,0.01,-0.04
3291,4544,1251425870,-0.08,0.02,-0.04
3291,4543,1251425875,-0.08,0.02,-0.04
3291,4542,1251425881,-0.08,0.02,-0.04
3291,4541,1251425886,-0.08,0.02,-0.04
3291,4540,1251425892,-0.08,0.02,-0.04
3291,4539,1251425897,-0.08,0.02,-0.03
3291,4538,1251425903,-0.08,0.02,-0.03
3291,4537,1251425908,-0.08,0.02,-0.03
3291,4536,1251425914,-0.08,0.02,-0.03
3291,4535,1251425919,-0.08,0.02,-0.03
3291,4534,1251425925,-0.07,0.02,-0.03
3291,4533,1251425930,-0.07,0.02,-0.03
3291,4532,1251425936,-0.07,0.02,-0.03
3291,4531,1251425941,-0.07,0.03,-0.03
3291,4530,1251425947,-0.07,0.03,-0.03
3291,4529,1251425952,-0.07,0.03,-0.02
3291,4528,1251425958,-0.07,0.03,-0.02
3291,4527,1251425963,-0.07,0.03,-0.02
3291,4526,1251425969,-0.07,0.03,-0.02
3291,4525,1251425974,-0.07,0.03,-0.02
3291,4524,1251425980,-0.06,0.03,-0.02
3291,4523,1251425985,-0.06,0.04,-0.01
3291,4522,1251425991,-0.06,0.04,-0.01
3291,4521,1251425996,-0.06,0.04,-0.01
3291,4520,1251426002,-0.06,0.04,-0.01
3291,4519,1251426007,-0.06,0.04,-0.01
3291,4518,1251426013,-0.06,0.04,-0.01
3291,4517,1251426018,-0.05,0.04,-0.01
3291,4516,1251426024,-0.05,0.04,-0.00
3291,4515,1251426029,-0.05,0.04,-0.00
3291,4514,1251426035,-0.05,0.04,-0.00
3291,4513,1251426040,-0.05,0.05,0.00
3291,4512,1251426046,-0.05,0.05,0.00
3291,4511,1251426051,-0.04,0.05,0.00
3291,4510,1251426057,-0.04,0.05,0.01
3291,4509,1251426062,-0.04,0.05,0.01
3291,4508,1251426068,-0.04,0.05,0.01
3291,4507,1251426073,-0.04,0.05,0.01
3291,4506,1251426079,-0.03,0.05,0.01
3291,4505,1251426084,-0.03,0.06,0.01
3291,4504,1251426090,-0.03,0.06,0.02
3291,4503,1251426095,-0.03,0.06,0.02
3291,4502,1251426101,-0.03,0.06,0.02
3291,4501,1251426106,-0.03,0.06,0.02
3291,4500,1251426112,-0.03,0.06,0.02
3291,4499,1251426118,-0.02,0.06,0.02
3291,4498,1251426123,-0.02,0.07,0.03
3291,4497,1251426128,-0.02,0.07,0.03
3291,4496,1251426134,-0.02,0.07,0.03
3291,4495,1251426139,-0.02,0.07,0.03
3291,4494,1251426145,-0.02,0.07,0.03
3291,4493,1251426150,-0.02,0.07,0.03
3291,4492,1251426156,-0.02,0.07,0.03
3291,4491,1251426161,-0.02,0.08,0.04
3291,4490,1251426167,-0.02,0.08,0.04
3291,4489,1251426172,-0.02,0.08,0.04
3291,4488,1251426178,-0.02,0.08,0.04
3291,4487,1251426184,-0.02,0.08,0.04
3291,4486,1251426189,-0.02,0.08,0.04
3291,4485,1251426194,-0.01,0.08,0.04
3291,4484,1251426200,-0.01,0.09,0.04
3291,4483,1251426206,-0.01,0.09,0.05
3291,4482,1251426211,-0.01,0.09,0.05
3291,4481,1251426217,-0.01,0.09,0.05
3291,4480,1251426222,-0.01,0.09,0.05
3291,4479,1251426228,-0.01,0.09,0.05
3291,4478,1251426233,-0.01,0.10,0.05
3291,4477,1251426239,-0.01,0.10,0.05
3291,4476,1251426244,-0.00,0.10,0.06
3291,4475,1251426250,-0.00,0.10,0.06
3291,4474,1251426255,-0.00,0.11,0.06
3291,4473,1251426261,0.00,0.11,0.06
3291,4472,1251426266,0.00,0.11,0.06
3291,4471,1251426272,0.00,0.11,0.07
3291,4470,1251426277,0.01,0.12,0.07
3291,4469,1251426283,0.01,0.12,0.07
3291,4468,1251426288,0.01,0.12,0.07
3291,4467,1251426294,0.01,0.12,0.07
3291,4466,1251426299,0.01,0.13,0.07
3291,4465,1251426305,0.01,0.13,0.08
3291,4464,1251426310,0.01,0.13,0.08
3291,4463,1251426316,0.02,0.13,0.08
3291,4462,1251426321,0.02,0.13,0.08
3291,4461,1251426327,0.02,0.14,0.08
3291,4460,1251426332,0.02,0.14,0.08
3291,4459,1251426338,0.02,0.14,0.08
3291,4458,1251426344,0.02,0.14,0.09
3291,4457,1251426349,0.02,0.14,0.09
3291,4456,1251426355,0.03,0.15,0.09
3291,4455,1251426360,0.03,0.15,0.09
3291,4454,1251426366,0.03,0.15,0.09
3291,4453,1251426371,0.03,0.15,0.09
3291,4452,1251426377,0.03,0.15,0.09
3291,4451,1251426382,0.03,0.16,0.10
3291,4450,1251426388,0.03,0.16,0.10
3291,4449,1251426393,0.03,0.16,0.10
3291,4448,1251426399,0.04,0.16,0.10
3291,4447,1251426404,0.04,0.17,0.10
3291,4446,1251426410,0.04,0.17,0.10
3291,4445,1251426415,0.04,0.17,0.10
3291,4444,1251426421,0.04,0.17,0.11
3291,4443,1251426426,0.04,0.18,0.11
3291,4442,1251426432,0.04,0.18,0.11
3291,4441,1251426437,0.04,0.18,0.11
3291,4440,1251426443,0.04,0.18,0.11
3291,4439,1251426448,0.04,0.18,0.11
3291,4438,1251426454,0.05,0.18,0.11
3291,4437,1251426459,0.05,0.19,0.12
3291,4436,1251426465,0.05,0.19,0.12
3291,4435,1251426470,0.05,0.19,0.12
3291,4434,1251426476,0.05,0.19,0.12
3291,4433,1251426481,0.05,0.19,0.12
3291,4432,1251426487,0.05,0.19,0.12
3291,4431,1251426492,0.05,0.19,0.12
3291,4430,1251426498,0.05,0.19,0.12
3291,4429,1251426503,0.05,0.19,0.13
3291,4428,1251426509,0.05,0.19,0.13
3291,4427,1251426514,0.05,0.19,0.13
3291,4426,1251426520,0.05,0.20,0.13
3291,4425,1251426525,0.06,0.20,0.13
3291,4424,1251426531,0.06,0.20,0.13
3291,4423,1251426536,0.06,0.20,0.14
3291,4422,1251426542,0.06,0.20,0.14
3291,4421,1251426547,0.06,0.20,0.14
3291,4420,1251426553,0.06,0.20,0.14
3291,4419,1251426558,0.06,0.20,0.14
3291,4418,1251426564,0.06,0.20,0.14
3291,4417,1251426569,0.06,0.20,0.14
3291,4416,1251426575,0.06,0.21,0.15
3291,4415,1251426580,0.06,0.21,0.15
3291,4414,1251426586,0.07,0.21,0.15
3291,4413,1251426592,0.07,0.21,0.15
3291,4412,1251426597,0.07,0.21,0.15
3291,4411,1251426603,0.07,0.21,0.15
3291,4410,1251426608,0.07,0.22,0.15
3291,4409,1251426614,0.07,0.22,0.16
3291,4408,1251426619,0.07,0.22,0.16
3291,4407,1251426624,0.08,0.22,0.16
3291,4406,1251426630,0.08,0.22,0.16
3291,4405,1251426635,0.08,0.23,0.16
3291,4404,1251426641,0.08,0.23,0.16
3291,4403,1251426647,0.08,0.23,0.17
3291,4402,1251426652,0.08,0.23,0.17
3291,4401,1251426657,0.08,0.23,0.17
3291,4400,1251426663,0.08,0.23,0.17
3291,4399,1251426668,0.08,0.23,0.17
3291,4398,1251426674,0.08,0.24,0.17
3291,4397,1251426679,0.08,0.24,0.17
3291,4396,1251426685,0.08,0.24,0.18
3291,4395,1251426690,0.09,0.24,0.18
3291,4394,1251426696,0.09,0.24,0.18
3291,4393,1251426701,0.09,0.24,0.18
3291,4392,1251426707,0.09,0.25,0.18
3291,4391,1251426712,0.09,0.25,0.18
3291,4390,1251426718,0.09,0.25,0.18
3291,4389,1251426723,0.09,0.25,0.18
3291,4388,1251426729,0.09,0.25,0.19
3291,4387,1251426734,0.09,0.25,0.19
3291,4386,1251426740,0.09,0.25,0.19
3291,4385,1251426745,0.09,0.25,0.19
3291,4384,1251426750,0.09,0.25,0.19
3291,4383,1251426756,0.10,0.25,0.19
3291,4382,1251426761,0.10,0.25,0.19
3291,4381,1251426767,0.10,0.25,0.19
3291,4380,1251426772,0.10,0.25,0.19
3291,4379,1251426777,0.10,0.25,0.19
3291,4378,1251426783,0.10,0.25,0.19
3291,4377,1251426788,0.10,0.25,0.19
3291,4376,1251426794,0.10,0.25,0.19
3291,4375,1251426799,0.10,0.25,0.19
3291,4374,1251426804,0.10,0.25,0.19
3291,4373,1251426810,0.10,0.25,0.19
3291,4372,1251426815,0.10,0.25,0.19
3291,4371,1251426821,0.10,0.24,0.19
3291,4370,1251426826,0.10,0.24,0.19
3291,4369,1251426831,0.10,0.24,0.19
3291,4368,1251426837,0.10,0.24,0.19
3291,4367,1251426842,0.10,0.24,0.19
3291,4366,1251426847,0.10,0.24,0.19
3291,4365,1251426853,0.10,0.24,0.19
3291,4364,1251426858,0.10,0.24,0.19
3291,4363,1251426864,0.10,0.24,0.20
3291,4362,1251426869,0.10,0.24,0.20
3291,4361,1251426874,0.10,0.24,0.20
3291,4360,1251426880,0.10,0.24,0.20
3291,4359,1251426885,0.10,0.24,0.20
3291,4358,1251426890,0.10,0.24,0.20
3291,4357,1251426896,0.10,0.24,0.20
3291,4356,1251426901,0.10,0.24,0.20
3291,4355,1251426907,0.10,0.24,0.20
3291,4354,1251426912,0.11,0.24,0.20
3291,4353,1251426917,0.11,0.24,0.20
3291,4352,1251426923,0.11,0.24,0.20
3291,4351,1251426928,0.11,0.24,0.20
3291,4350,1251426933,0.11,0.24,0.20
3291,4349,1251426939,0.11,0.24,0.20
3291,4348,1251426944,0.11,0.24,0.20
3291,4347,1251426950,0.11,0.24,0.20
3291,4346,1251426955,0.11,0.24,0.20
3291,4345,1251426960,0.11,0.24,0.20
3291,4344,1251426966,0.12,0.24,0.20
3291,4343,1251426971,0.12,0.24,0.20
3291,4342,1251426976,0.12,0.24,0.20
3291,4341,1251426982,0.12,0.24,0.20
3291,4340,1251426987,0.12,0.24,0.20
3291,4339,1251426993,0.12,0.24,0.21
3291,4338,1251426998,0.13,0.24,0.21
3291,4337,1251427003,0.13,0.24,0.21
3291,4336,1251427009,0.13,0.24,0.21
3291,4335,1251427014,0.13,0.24,0.21
3291,4334,1251427019,0.13,0.24,0.21
3291,4333,1251427025,0.14,0.24,0.21
3291,4332,1251427030,0.14,0.24,0.21
3291,4331,1251427036,0.14,0.24,0.21
3291,4330,1251427041,0.14,0.24,0.21
3291,4329,1251427046,0.14,0.23,0.21
3291,4328,1251427052,0.15,0.24,0.21
3291,4327,1251427057,0.15,0.24,0.22
3291,4326,1251427062,0.15,0.24,0.22
3291,4325,1251427068,0.15,0.24,0.22
3291,4324,1251427073,0.15,0.24,0.22
3291,4323,1251427078,0.15,0.24,0.22
3291,4322,1251427084,0.15,0.24,0.22
3291,4321,1251427089,0.15,0.24,0.22
3291,4320,1251427095,0.16,0.24,0.22
3291,4319,1251427100,0.16,0.24,0.22
3291,4318,1251427105,0.16,0.25,0.22
3291,4317,1251427111,0.16,0.25,0.22
3291,4316,1251427116,0.16,0.25,0.23
3291,4315,1251427122,0.16,0.25,0.23
3291,4314,1251427127,0.16,0.25,0.23
3291,4313,1251427132,0.16,0.25,0.23
3291,4312,1251427138,0.17,0.25,0.23
3291,4311,1251427143,0.17,0.25,0.23
3291,4310,1251427148,0.17,0.25,0.23
3291,4309,1251427154,0.17,0.25,0.23
3291,4308,1251427159,0.17,0.26,0.23
3291,4307,1251427165,0.17,0.26,0.23
3291,4306,1251427170,0.17,0.26,0.23
3291,4305,1251427175,0.17,0.26,0.23
3291,4304,1251427181,0.18,0.26,0.24
3291,4303,1251427186,0.18,0.26,0.24
3291,4302,1251427191,0.18,0.26,0.24
3291,4301,1251427197,0.18,0.27,0.24
3291,4300,1251427202,0.18,0.27,0.24
3291,4299,1251427208,0.19,0.27,0.24
3291,4298,1251427213,0.19,0.27,0.24
3291,4297,1251427218,0.19,0.27,0.25
3291,4296,1251427224,0.19,0.27,0.25
3291,4295,1251427229,0.20,0.27,0.25
3291,4294,1251427235,0.20,0.28,0.25
3291,4293,1251427240,0.20,0.28,0.25
3291,4292,1251427245,0.21,0.28,0.26
3291,4291,1251427251,0.21,0.28,0.26
3291,4290,1251427256,0.21,0.29,0.26
3291,4289,1251427262,0.21,0.29,0.26
3291,4288,1251427267,0.22,0.29,0.27
3291,4287,1251427272,0.22,0.29,0.27
3291,4286,1251427278,0.22,0.30,0.27
3291,4285,1251427283,0.22,0.30,0.27
3291,4284,1251427289,0.23,0.30,0.28
3291,4283,1251427294,0.23,0.31,0.28
3291,4282,1251427299,0.23,0.31,0.28
3291,4281,1251427305,0.23,0.31,0.29
3291,4280,1251427310,0.24,0.32,0.29
3291,4279,1251427316,0.24,0.32,0.29
3291,4278,1251427321,0.24,0.32,0.29
3291,4277,1251427326,0.24,0.32,0.30
3291,4276,1251427332,0.25,0.33,0.30
3291,4275,1251427337,0.25,0.33,0.30
3291,4274,1251427343,0.25,0.33,0.30
3291,4273,1251427348,0.25,0.34,0.31
3291,4272,1251427353,0.26,0.34,0.31
3291,4271,1251427359,0.26,0.34,0.31
3291,4270,1251427364,0.26,0.35,0.31
3291,4269,1251427369,0.27,0.35,0.32
3291,4268,1251427375,0.27,0.36,0.32
3291,4267,1251427380,0.27,0.36,0.32
3291,4266,1251427385,0.27,0.36,0.32
3291,4265,1251427391,0.28,0.37,0.33
3291,4264,1251427396,0.28,0.37,0.33
3291,4263,1251427402,0.28,0.37,0.33
3291,4262,1251427407,0.28,0.37,0.34
3291,4261,1251427412,0.29,0.38,0.34
3291,4260,1251427418,0.29,0.38,0.34
3291,4259,1251427423,0.29,0.38,0.35
3291,4258,1251427428,0.30,0.39,0.35
3291,4257,1251427434,0.30,0.39,0.35
3291,4256,1251427439,0.30,0.39,0.36
3291,4255,1251427444,0.31,0.40,0.36
3291,4254,1251427450,0.31,0.40,0.36
3291,4253,1251427455,0.32,0.40,0.37
3291,4252,1251427460,0.32,0.41,0.37
3291,4251,1251427466,0.32,0.41,0.37
3291,4250,1251427471,0.33,0.41,0.38
3291,4249,1251427477,0.33,0.42,0.38
3291,4248,1251427482,0.34,0.42,0.39
3291,4247,1251427487,0.35,0.42,0.39
3291,4246,1251427493,0.35,0.43,0.40
3291,4245,1251427498,0.36,0.43,0.40
3291,4244,1251427503,0.36,0.44,0.40
3291,4243,1251427509,0.37,0.44,0.41
3291,4242,1251427514,0.37,0.45,0.41
3291,4241,1251427520,0.38,0.45,0.42
3291,4240,1251427525,0.38,0.46,0.42
3291,4239,1251427530,0.38,0.46,0.43
3291,4238,1251427536,0.39,0.47,0.43
3291,4237,1251427541,0.39,0.47,0.43
3291,4236,1251427546,0.40,0.48,0.44
3291,4235,1251427552,0.40,0.48,0.44
3291,4234,1251427557,0.41,0.49,0.45
3291,4233,1251427563,0.41,0.49,0.45
3291,4232,1251427568,0.42,0.50,0.46
3291,4231,1251427573,0.42,0.50,0.47
3291,4230,1251427579,0.42,0.51,0.47
3291,4229,1251427584,0.43,0.51,0.48
3291,4228,1251427590,0.43,0.52,0.48
3291,4227,1251427595,0.44,0.52,0.49
3291,4226,1251427600,0.44,0.53,0.49
3291,4225,1251427606,0.44,0.53,0.50
3291,4224,1251427611,0.45,0.54,0.50
3291,4223,1251427616,0.45,0.54,0.51
3291,4222,1251427622,0.46,0.55,0.51
3291,4221,1251427627,0.46,0.55,0.52
3291,4220,1251427632,0.46,0.56,0.52
3291,4219,1251427638,0.47,0.57,0.53
3291,4218,1251427643,0.47,0.57,0.54
3291,4217,1251427649,0.48,0.58,0.54
3291,4216,1251427654,0.48,0.59,0.55
3291,4215,1251427659,0.49,0.60,0.55
3291,4214,1251427665,0.49,0.60,0.56
3291,4213,1251427670,0.49,0.61,0.56
3291,4212,1251427675,0.50,0.62,0.57
3291,4211,1251427681,0.50,0.62,0.57
3291,4210,1251427686,0.51,0.63,0.58
3291,4209,1251427691,0.51,0.64,0.58
3291,4208,1251427697,0.51,0.64,0.59
3291,4207,1251427702,0.52,0.65,0.59
3291,4206,1251427707,0.52,0.66,0.60
3291,4205,1251427713,0.52,0.67,0.60
3291,4204,1251427718,0.53,0.68,0.61
3291,4203,1251427724,0.53,0.68,0.62
3291,4202,1251427729,0.53,0.69,0.62
3291,4201,1251427734,0.54,0.70,0.63
3291,4200,1251427740,0.54,0.71,0.63
3291,4199,1251427745,0.55,0.72,0.64
3291,4198,1251427750,0.55,0.72,0.64
3291,4197,1251427756,0.55,0.73,0.65
3291,4196,1251427761,0.56,0.74,0.65
3291,4195,1251427767,0.56,0.75,0.66
3291,4194,1251427772,0.56,0.76,0.66
3291,4193,1251427777,0.57,0.76,0.67
3291,4192,1251427783,0.57,0.77,0.67
3291,4191,1251427788,0.57,0.78,0.68
3291,4190,1251427793,0.58,0.79,0.68
3291,4189,1251427799,0.58,0.79,0.69
3291,4188,1251427804,0.58,0.80,0.69
3291,4187,1251427810,0.58,0.81,0.69
3291,4186,1251427815,0.59,0.81,0.70
3291,4185,1251427820,0.59,0.82,0.70
3291,4184,1251427826,0.59,0.82,0.71
3291,4183,1251427831,0.60,0.83,0.71
3291,4182,1251427836,0.60,0.83,0.71
3291,4181,1251427842,0.60,0.84,0.72
3291,4180,1251427847,0.60,0.84,0.72
3291,4179,1251427852,0.61,0.85,0.73
3291,4178,1251427858,0.61,0.85,0.73
3291,4177,1251427863,0.61,0.86,0.73
3291,4176,1251427868,0.62,0.86,0.74
3291,4175,1251427874,0.62,0.87,0.74
3291,4174,1251427879,0.62,0.87,0.74
3291,4173,1251427885,0.63,0.88,0.74
3291,4172,1251427890,0.63,0.88,0.75
3291,4171,1251427895,0.63,0.89,0.75
3291,4170,1251427901,0.63,0.89,0.75
3291,4169,1251427906,0.64,0.90,0.76
3291,4168,1251427911,0.64,0.90,0.76
3291,4167,1251427917,0.64,0.90,0.76
3291,4166,1251427922,0.65,0.91,0.76
3291,4165,1251427927,0.65,0.91,0.77
3291,4164,1251427933,0.65,0.91,0.77
3291,4163,1251427938,0.65,0.91,0.77
3291,4162,1251427943,0.66,0.92,0.77
3291,4161,1251427949,0.66,0.92,0.78
3291,4160,1251427954,0.66,0.92,0.78
3291,4159,1251427960,0.67,0.93,0.78
3291,4158,1251427965,0.67,0.93,0.79
3291,4157,1251427970,0.67,0.93,0.79
3291,4156,1251427976,0.67,0.93,0.79
3291,4155,1251427981,0.68,0.94,0.79
3291,4154,1251427987,0.68,0.94,0.79
3291,4153,1251427992,0.68,0.94,0.80
3291,4152,1251427997,0.68,0.94,0.80
3291,4151,1251428003,0.69,0.95,0.80
3291,4150,1251428008,0.69,0.95,0.80
3291,4149,1251428014,0.69,0.95,0.81
3291,4148,1251428019,0.70,0.95,0.81
3291,4147,1251428024,0.70,0.96,0.81
3291,4146,1251428030,0.70,0.96,0.81
3291,4145,1251428035,0.70,0.96,0.81
3291,4144,1251428040,0.71,0.96,0.82
3291,4143,1251428046,0.71,0.96,0.82
3291,4142,1251428051,0.71,0.97,0.82
3291,4141,1251428057,0.72,0.97,0.82
3291,4140,1251428062,0.72,0.97,0.82
3291,4139,1251428067,0.72,0.97,0.83
3291,4138,1251428073,0.72,0.97,0.83
3291,4137,1251428078,0.72,0.98,0.83
3291,4136,1251428083,0.73,0.98,0.83
3291,4135,1251428089,0.73,0.98,0.83
3291,4134,1251428094,0.73,0.98,0.83
3291,4133,1251428099,0.73,0.98,0.83
3291,4132,1251428105,0.73,0.98,0.84
3291,4131,1251428110,0.73,0.98,0.84
3291,4130,1251428116,0.73,0.98,0.84
3291,4129,1251428121,0.73,0.98,0.84
3291,4128,1251428127,0.73,0.98,0.84
3291,4127,1251428132,0.74,0.98,0.84
3291,4126,1251428137,0.74,0.99,0.84
3291,4125,1251428143,0.74,0.99,0.84
3291,4124,1251428148,0.74,0.99,0.84
3291,4123,1251428153,0.74,0.99,0.84
3291,4122,1251428159,0.74,0.99,0.84
3291,4121,1251428164,0.74,0.99,0.84
3291,4120,1251428170,0.74,0.99,0.84
3291,4119,1251428175,0.74,0.98,0.84
3291,4118,1251428180,0.74,0.98,0.84
3291,4117,1251428186,0.74,0.98,0.84
3291,4116,1251428191,0.74,0.98,0.84
3291,4115,1251428197,0.74,0.98,0.84
3291,4114,1251428202,0.74,0.98,0.84
3291,4113,1251428207,0.74,0.97,0.84
3291,4112,1251428213,0.74,0.97,0.84
3291,4111,1251428218,0.74,0.97,0.84
3291,4110,1251428224,0.74,0.97,0.84
3291,4109,1251428229,0.74,0.97,0.84
3291,4108,1251428234,0.74,0.97,0.84
3291,4107,1251428240,0.74,0.97,0.84
3291,4106,1251428245,0.74,0.97,0.84
3291,4105,1251428251,0.74,0.97,0.84
3291,4104,1251428256,0.74,0.98,0.84
3291,4103,1251428261,0.74,0.98,0.84
3291,4102,1251428267,0.75,0.98,0.84
3291,4101,1251428272,0.75,0.98,0.84
3291,4100,1251428278,0.75,0.98,0.85
3291,4099,1251428283,0.75,0.98,0.85
3291,4098,1251428288,0.75,0.98,0.85
3291,4097,1251428294,0.75,0.98,0.85
3291,4096,1251428299,0.75,0.98,0.85
3291,4095,1251428304,0.75,0.98,0.85
3291,4094,1251428310,0.75,0.99,0.85
3291,4093,1251428315,0.76,0.99,0.85
3291,4092,1251428321,0.76,0.99,0.85
3291,4091,1251428326,0.76,0.99,0.85
3291,4090,1251428332,0.76,0.99,0.85
3291,4089,1251428337,0.76,0.99,0.85
3291,4088,1251428342,0.76,0.99,0.86
3291,4087,1251428348,0.76,0.99,0.86
3291,4086,1251428353,0.77,0.99,0.86
3291,4085,1251428359,0.77,0.99,0.86
3291,4084,1251428364,0.77,0.99,0.86
3291,4083,1251428369,0.77,0.99,0.86
3291,4082,1251428375,0.77,0.99,0.86
3291,4081,1251428380,0.77,0.99,0.86
3291,4080,1251428386,0.78,0.99,0.86
3291,4079,1251428391,0.78,1.00,0.87
3291,4078,1251428396,0.78,1.00,0.87
3291,4077,1251428402,0.78,1.00,0.87
3291,4076,1251428407,0.78,1.00,0.87
3291,4075,1251428412,0.78,1.00,0.87
3291,4074,1251428418,0.78,1.00,0.87
3291,4073,1251428423,0.78,1.00,0.87
3291,4072,1251428429,0.79,1.01,0.88
3291,4071,1251428434,0.79,1.01,0.88
3291,4070,1251428439,0.79,1.01,0.88
3291,4069,1251428445,0.79,1.01,0.88
3291,4068,1251428450,0.79,1.01,0.88
3291,4067,1251428456,0.79,1.01,0.88
3291,4066,1251428461,0.79,1.01,0.88
3291,4065,1251428466,0.79,1.01,0.88
3291,4064,1251428472,0.80,1.01,0.89
3291,4063,1251428477,0.80,1.01,0.89
3291,4062,1251428482,0.80,1.01,0.89
3291,4061,1251428488,0.80,1.01,0.89
3291,4060,1251428493,0.80,1.01,0.89
3291,4059,1251428499,0.81,1.01,0.89
3291,4058,1251428504,0.81,1.01,0.89
3291,4057,1251428509,0.81,1.01,0.90
3291,4056,1251428515,0.81,1.01,0.90
3291,4055,1251428520,0.81,1.01,0.90
3291,4054,1251428525,0.82,1.01,0.90
3291,4053,1251428531,0.82,1.01,0.90
3291,4052,1251428536,0.82,1.01,0.90
3291,4051,1251428542,0.82,1.01,0.90
3291,4050,1251428547,0.83,1.01,0.91
3291,4049,1251428552,0.83,1.01,0.91
3291,4048,1251428558,0.83,1.01,0.91
3291,4047,1251428563,0.83,1.00,0.91
3291,4046,1251428569,0.84,1.00,0.91
3291,4045,1251428574,0.84,1.00,0.91
3291,4044,1251428580,0.84,1.00,0.91
3291,4043,1251428585,0.84,1.00,0.92
3291,4042,1251428591,0.84,1.00,0.92
3291,4041,1251428596,0.85,1.00,0.92
3291,4040,1251428602,0.85,1.00,0.92
3291,4039,1251428607,0.85,1.00,0.92
3291,4038,1251428613,0.86,1.00,0.93
3291,4037,1251428618,0.86,1.00,0.93
3291,4036,1251428624,0.86,1.00,0.93
3291,4035,1251428630,0.87,1.00,0.93
3291,4034,1251428635,0.87,1.00,0.94
3291,4033,1251428641,0.87,1.00,0.94
3291,4032,1251428646,0.87,1.00,0.94
3291,4031,1251428652,0.88,1.00,0.94
3291,4030,1251428658,0.88,1.01,0.94
3291,4029,1251428663,0.88,1.01,0.95
3291,4028,1251428669,0.88,1.01,0.95
3291,4027,1251428674,0.89,1.01,0.95
3291,4026,1251428680,0.89,1.01,0.95
3291,4025,1251428686,0.89,1.01,0.95
3291,4024,1251428691,0.89,1.01,0.95
3291,4023,1251428697,0.89,1.01,0.96
3291,4022,1251428702,0.90,1.02,0.96
3291,4021,1251428708,0.90,1.02,0.96
3291,4020,1251428714,0.90,1.02,0.96
